name,P_c,T_c,V_c,rho_c
"Ethanol, 2-fluoro-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Pentadiyne",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Ethyl Chloride,52.4053,460.35,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"Ethane, 1,1-difluoro-",44.95,386.5,-1.0,5.57
"1,2-Difluoroethane",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Propanedinitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1-Buten-3-yne, 2-methyl-",-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
"1,3-Cyclopentadiene",-1.0,-1.0,-1.0,-1.0
Cyclopropylacetylene,-1.0,-1.0,-1.0,-1.0
1-Penten-3-yne,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Pyrrole,56.742,639.8,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
(Z)-2-Butenenitrile,-1.0,-1.0,-1.0,-1.0
3-Butenenitrile,-1.0,-1.0,-1.0,-1.0
Cyclopropanecarbonitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
Methylacrylonitrile,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
2-Butynal,-1.0,-1.0,-1.0,-1.0
3-Butyn-2-one,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
,-1.0,-1.0,-1.0,-1.0
